objid,ra,dec,u-peaks,g-peaks,r-peaks,i-peaks,u-peak-numbers,u-peak-distance,g-peak-numbers,g-peak-distance,r-peak-numbers,r-peak-distance,i-peak-numbers,i-peak-distance
1237655349967454292,244.377401507879,46.091696297406,"[(50, 50)(61, 64)]","[(50, 50)(61, 56)]","[(50, 50)(38, 37)]","[(50, 50)(36, 40)]","[50, 50, 61, 64]",17.804493814764857,"[50, 50, 61, 56]",12.529964086141668,"[50, 50, 38, 37]",17.69180601295413,"[50, 50, 36, 40]",17.204650534085253
1237651273492398319,116.631147970597,42.891388384517,"[(51, 36)(50, 50)]","[(51, 37)(50, 50)]","[(51, 37)(50, 50)]","[(51, 37)(50, 50)]","[51, 36, 50, 50]",14.035668847618199,"[51, 37, 50, 50]",13.038404810405298,"[51, 37, 50, 50]",13.038404810405298,"[51, 37, 50, 50]",13.038404810405298
1237651273492791441,117.531884723679,43.644497569872,"[(64, 69)(65, 76)]","[(65, 67)(66, 77)]","[(62, 67)(66, 66)]","[(65, 68)(66, 78)]","[64, 69, 65, 76]",7.0710678118654755,"[65, 67, 66, 77]",10.04987562112089,"[62, 67, 66, 66]",4.123105625617661,"[65, 68, 66, 78]",10.04987562112089
1237654611218006130,197.553802653512,65.4799228456713,"[(51, 62)(56, 50)]","[(50, 50)(51, 62)]","[(50, 51)(51, 62)]","[(51, 51)(51, 62)]","[51, 62, 56, 50]",13.0,"[50, 50, 51, 62]",12.041594578792296,"[50, 51, 51, 62]",11.045361017187261,"[51, 51, 51, 62]",11.0
1237648720173531334,217.771919687042,-0.919443381842432,"[(9, 52)(16, 53)]","[(8, 52)(50, 50)]","[(8, 53)(50, 50)]","[(9, 53)(50, 50)]","[9, 52, 16, 53]",7.0710678118654755,"[8, 52, 50, 50]",42.04759208325728,"[8, 53, 50, 50]",42.1070065428546,"[9, 53, 50, 50]",41.10960958218893
1237648721247142089,217.44184348803,-0.152395099030967,"[(35, 55)(44, 51)]","[(35, 55)(49, 50)]","[(50, 50)(35, 54)]","[(52, 50)(36, 55)]","[35, 55, 44, 51]",9.848857801796104,"[35, 55, 49, 50]",14.866068747318506,"[50, 50, 35, 54]",15.524174696260024,"[52, 50, 36, 55]",16.76305461424021
1237663783666712587,14.0722742006449,-0.369017017426304,"[(55, 44)(50, 50)]","[(56, 44)(50, 50)]","[(50, 50)(55, 44)]","[(50, 50)(55, 44)]","[55, 44, 50, 50]",7.810249675906654,"[56, 44, 50, 50]",8.48528137423857,"[50, 50, 55, 44]",7.810249675906654,"[50, 50, 55, 44]",7.810249675906654
1237651539244023910,156.348539504705,64.9986961331233,"[(50, 50)(39, 29)]","[(50, 50)(41, 42)]","[(50, 50)(58, 60)]","[(50, 50)(41, 42)]","[50, 50, 39, 29]",23.706539182259394,"[50, 50, 41, 42]",12.041594578792296,"[50, 50, 58, 60]",12.806248474865697,"[50, 50, 41, 42]",12.041594578792296
1237650761316368451,179.002399577175,-2.72005523578726,"[(68, 42)(50, 50)]","[(68, 43)(50, 50)]","[(69, 43)(50, 50)]","[(69, 42)(51, 50)]","[68, 42, 50, 50]",19.697715603592208,"[68, 43, 50, 50]",19.313207915827967,"[69, 43, 50, 50]",20.248456731316587,"[69, 42, 51, 50]",19.697715603592208
1237650370481619144,179.301609843631,-2.68647149799819,"[(50, 50)(29, 45)]","[(50, 50)(29, 45)]","[(50, 50)(29, 45)]","[(29, 45)(49, 50)]","[50, 50, 29, 45]",21.587033144922902,"[50, 50, 29, 45]",21.587033144922902,"[50, 50, 29, 45]",21.587033144922902,"[29, 45, 49, 50]",20.615528128088304
1237651190825353337,144.205887887241,57.9921030352495,"[(49, 50)(47, 37)]","[(50, 50)(47, 38)]","[(50, 50)(51, 61)]","[(50, 50)(51, 36)]","[49, 50, 47, 37]",13.152946437965905,"[50, 50, 47, 38]",12.36931687685298,"[50, 50, 51, 61]",11.045361017187261,"[50, 50, 51, 36]",14.035668847618199
1237651192436293688,144.133061069363,59.4051824927051,"[(17, 15)(13, 1)]","[(13, 1)(17, 15)]","[(13, 1)(17, 15)]","[(12, 1)(17, 15)]","[17, 15, 13, 1]",14.560219778561036,"[13, 1, 17, 15]",14.560219778561036,"[13, 1, 17, 15]",14.560219778561036,"[12, 1, 17, 15]",14.866068747318506
1237651250416910408,146.536794394263,58.5304627312898,"[(51, 50)(57, 55)]","[(50, 49)(57, 55)]","[(50, 50)(57, 56)]","[(50, 49)(57, 55)]","[51, 50, 57, 55]",7.810249675906654,"[50, 49, 57, 55]",9.219544457292887,"[50, 50, 57, 56]",9.219544457292887,"[50, 49, 57, 55]",9.219544457292887
1237662300818505847,194.576851391039,51.1300789435852,"[(50, 49)(50, 53)]","[(50, 50)(60, 59)]","[(50, 50)(60, 59)]","[(60, 60)(50, 50)]","[50, 49, 50, 53]",4.0,"[50, 50, 60, 59]",13.45362404707371,"[50, 50, 60, 59]",13.45362404707371,"[60, 60, 50, 50]",14.142135623730951
1237657117338566712,133.408121878958,40.7300230933618,"[(50, 50)(66, 34)]","[(50, 50)(67, 34)]","[(50, 50)(66, 34)]","[(50, 50)(67, 34)]","[50, 50, 66, 34]",22.627416997969522,"[50, 50, 67, 34]",23.345235059857504,"[50, 50, 66, 34]",22.627416997969522,"[50, 50, 67, 34]",23.345235059857504
