epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1986,1.98703,4.81508,1.77461,0.18544,0.25882,0.17124,0.08344,1.68432,6.86902,1.70064,0.000657778,0.000657778,0.000657778
2,34.8448,1.77548,3.32052,1.58473,0.29316,0.35133,0.21658,0.05878,2.38078,6.40221,2.99235,0.00132117,0.00132117,0.00132117
3,45.0557,1.85025,2.77238,1.69807,0.18709,0.13271,0.05874,0.02328,2.96921,5.65515,3.67653,0.00198126,0.00198126,0.00198126
4,55.1326,1.81965,2.25982,1.68839,0.2633,0.55294,0.26902,0.13573,1.66661,8.9148,1.91943,0.00198515,0.00198515,0.00198515
5,65.1867,1.81447,2.10133,1.69014,0.40319,0.64706,0.39905,0.18991,1.72272,2.08969,1.82766,0.0019802,0.0019802,0.0019802
6,75.3596,1.70519,1.88805,1.57322,0.43476,0.48235,0.36584,0.18206,1.85145,2.34568,2.00418,0.00197525,0.00197525,0.00197525
7,85.4136,1.70611,1.78115,1.60039,0.37666,0.66116,0.36999,0.18133,1.91076,2.16744,2.02083,0.0019703,0.0019703,0.0019703
8,95.4458,1.69468,1.77984,1.61799,0.40029,0.67059,0.4776,0.21004,1.7612,1.95297,1.86938,0.00196535,0.00196535,0.00196535
9,105.609,1.65925,1.6685,1.56269,0.4715,0.45882,0.43574,0.23409,1.64776,1.95871,1.82584,0.0019604,0.0019604,0.0019604
10,115.647,1.62966,1.60241,1.55551,0.56066,0.67059,0.59563,0.30661,1.61121,1.61597,1.71226,0.00195545,0.00195545,0.00195545
11,125.734,1.61894,1.62051,1.53267,0.54227,0.54118,0.56742,0.30506,1.70049,1.8661,1.81727,0.0019505,0.0019505,0.0019505
12,135.781,1.62963,1.55329,1.5526,0.44345,0.78742,0.51003,0.30714,1.40451,1.47219,1.58461,0.00194555,0.00194555,0.00194555
13,145.937,1.56135,1.56112,1.51408,0.53737,0.69412,0.60768,0.34592,1.49433,1.56431,1.66144,0.0019406,0.0019406,0.0019406
14,155.893,1.59678,1.56288,1.50921,0.45881,0.72809,0.56461,0.32857,1.38075,1.57633,1.57498,0.00193565,0.00193565,0.00193565
15,165.878,1.55695,1.47312,1.51425,0.50341,0.67059,0.55613,0.28684,1.76842,1.91987,1.8218,0.0019307,0.0019307,0.0019307
16,175.975,1.55598,1.51889,1.52036,0.44828,0.84706,0.53978,0.29209,1.52585,1.52122,1.70871,0.00192575,0.00192575,0.00192575
17,185.948,1.62915,1.51233,1.55187,0.58305,0.67059,0.61693,0.35356,1.45417,1.46898,1.63989,0.0019208,0.0019208,0.0019208
18,195.92,1.53204,1.48295,1.5035,0.49591,0.70588,0.59307,0.3374,1.47054,1.43972,1.6675,0.00191585,0.00191585,0.00191585
19,205.929,1.56185,1.50122,1.52806,0.52323,0.70588,0.59683,0.34342,1.62382,1.56056,1.75667,0.0019109,0.0019109,0.0019109
20,215.997,1.49843,1.38256,1.45838,0.62945,0.61957,0.65408,0.37313,1.54589,1.54131,1.64166,0.00190595,0.00190595,0.00190595
21,226.014,1.53588,1.43246,1.4974,0.49629,0.71867,0.58945,0.328,1.49987,1.41643,1.67522,0.001901,0.001901,0.001901
22,235.957,1.46525,1.40063,1.40725,0.55602,0.63356,0.51072,0.2567,1.71455,1.98202,1.81847,0.00189605,0.00189605,0.00189605
23,245.935,1.52648,1.39047,1.48709,0.46081,0.69412,0.55358,0.31308,1.57864,1.49475,1.74448,0.0018911,0.0018911,0.0018911
24,256.039,1.4938,1.35894,1.45059,0.54879,0.64392,0.58422,0.37238,1.41932,1.40688,1.57778,0.00188615,0.00188615,0.00188615
25,266.029,1.49132,1.392,1.44971,0.52749,0.72941,0.60302,0.34939,1.5567,1.49494,1.66699,0.0018812,0.0018812,0.0018812
26,276.013,1.49686,1.40336,1.4512,0.44967,0.70588,0.53711,0.28946,1.70863,1.46371,1.84625,0.00187625,0.00187625,0.00187625
27,286.095,1.50473,1.37454,1.46007,0.49422,0.82771,0.56569,0.34922,1.36587,1.40496,1.58797,0.0018713,0.0018713,0.0018713
28,296.098,1.47165,1.36944,1.43587,0.57207,0.68235,0.63677,0.37626,1.58355,1.34463,1.68022,0.00186635,0.00186635,0.00186635
29,306.104,1.46254,1.39777,1.4254,0.55714,0.76471,0.6241,0.37179,1.36432,1.41349,1.54118,0.0018614,0.0018614,0.0018614
30,316.078,1.48536,1.35084,1.45039,0.5378,0.75289,0.57049,0.34794,1.40695,1.46082,1.58758,0.00185645,0.00185645,0.00185645
31,326.234,1.49166,1.35613,1.45502,0.51254,0.54118,0.53003,0.31155,1.65386,1.6229,1.78599,0.0018515,0.0018515,0.0018515
32,336.236,1.44058,1.28513,1.41986,0.52097,0.67059,0.55023,0.30299,1.69838,1.58309,1.7896,0.00184655,0.00184655,0.00184655
33,346.228,1.48177,1.29152,1.44554,0.51273,0.75516,0.61945,0.38131,1.34624,1.47185,1.5523,0.0018416,0.0018416,0.0018416
34,356.19,1.46176,1.32778,1.43206,0.48729,0.77647,0.5921,0.36603,1.48443,1.37259,1.64148,0.00183665,0.00183665,0.00183665
35,366.603,1.48757,1.32784,1.44319,0.49701,0.77647,0.66919,0.40745,1.3306,1.2874,1.55599,0.0018317,0.0018317,0.0018317
36,376.838,1.43414,1.32932,1.43794,0.44233,0.68235,0.56608,0.30575,1.64405,1.50534,1.73142,0.00182675,0.00182675,0.00182675
37,386.836,1.46039,1.31059,1.44436,0.57108,0.78323,0.63254,0.37726,1.3859,1.3277,1.57533,0.0018218,0.0018218,0.0018218
38,396.79,1.43024,1.29907,1.41373,0.51317,0.71765,0.57848,0.35031,1.37291,1.36177,1.56105,0.00181685,0.00181685,0.00181685
39,406.858,1.44923,1.31677,1.43001,0.56411,0.71765,0.61367,0.38791,1.46906,1.38871,1.57323,0.0018119,0.0018119,0.0018119
40,416.826,1.39795,1.27378,1.38347,0.50674,0.82353,0.6162,0.34721,1.50127,1.41284,1.6379,0.00180695,0.00180695,0.00180695
41,426.844,1.4263,1.27195,1.39607,0.48055,0.751,0.56778,0.33912,1.44226,1.37077,1.61494,0.001802,0.001802,0.001802
42,436.893,1.46862,1.28002,1.41926,0.52581,0.78274,0.65068,0.37069,1.48257,1.43644,1.58657,0.00179705,0.00179705,0.00179705
43,446.872,1.38403,1.29302,1.40014,0.49948,0.8,0.65304,0.39659,1.37293,1.24148,1.57562,0.0017921,0.0017921,0.0017921
44,456.879,1.42751,1.25837,1.4105,0.65403,0.68949,0.67438,0.38968,1.49802,1.40596,1.66889,0.00178715,0.00178715,0.00178715
45,466.882,1.40182,1.31951,1.39872,0.52887,0.72639,0.60184,0.32276,1.54721,1.38603,1.65823,0.0017822,0.0017822,0.0017822
46,476.952,1.38361,1.21861,1.39423,0.55576,0.83894,0.67629,0.40949,1.35735,1.25284,1.54022,0.00177725,0.00177725,0.00177725
47,486.975,1.35379,1.17616,1.35932,0.51714,0.8,0.6462,0.40943,1.42123,1.28974,1.59223,0.0017723,0.0017723,0.0017723
48,496.964,1.42997,1.23777,1.3972,0.63255,0.54685,0.62227,0.33708,1.54595,1.33363,1.70877,0.00176735,0.00176735,0.00176735
49,507.115,1.37531,1.19199,1.36481,0.5153,0.8,0.6575,0.39806,1.48314,1.29432,1.65029,0.0017624,0.0017624,0.0017624
50,517.122,1.40036,1.24037,1.3963,0.57048,0.78132,0.67148,0.38357,1.4885,1.30036,1.62896,0.00175745,0.00175745,0.00175745
51,527.172,1.37552,1.21816,1.37741,0.57456,0.81176,0.7019,0.43219,1.36692,1.17208,1.5556,0.0017525,0.0017525,0.0017525
52,537.245,1.40992,1.26393,1.40606,0.46965,0.83529,0.6099,0.37563,1.37735,1.35203,1.56344,0.00174755,0.00174755,0.00174755
53,547.352,1.36857,1.19042,1.38334,0.53039,0.57647,0.59484,0.37186,1.44899,1.31653,1.63034,0.0017426,0.0017426,0.0017426
54,557.32,1.40311,1.22103,1.41527,0.54126,0.85882,0.67351,0.40669,1.40496,1.18761,1.56607,0.00173765,0.00173765,0.00173765
55,567.321,1.3326,1.1841,1.35151,0.58796,0.65474,0.66654,0.40804,1.41989,1.2331,1.58003,0.0017327,0.0017327,0.0017327
56,577.315,1.41012,1.18438,1.39223,0.56233,0.77647,0.64798,0.38857,1.44477,1.16898,1.62115,0.00172775,0.00172775,0.00172775
57,587.399,1.36869,1.18228,1.38065,0.54383,0.78824,0.66689,0.41768,1.40492,1.1878,1.57647,0.0017228,0.0017228,0.0017228
58,597.35,1.35928,1.17057,1.33819,0.50489,0.89412,0.65991,0.35978,1.46216,1.26232,1.58989,0.00171785,0.00171785,0.00171785
59,607.341,1.34796,1.19885,1.37227,0.49584,0.83529,0.62978,0.36755,1.49641,1.35921,1.65886,0.0017129,0.0017129,0.0017129
60,617.439,1.32148,1.10922,1.3364,0.58223,0.81176,0.69915,0.41048,1.40009,1.25166,1.60228,0.00170795,0.00170795,0.00170795
61,627.431,1.36588,1.18346,1.35753,0.52169,0.79558,0.63087,0.36891,1.52122,1.23373,1.6869,0.001703,0.001703,0.001703
62,637.386,1.36762,1.20106,1.36123,0.5495,0.76471,0.61266,0.35543,1.52328,1.45925,1.67733,0.00169805,0.00169805,0.00169805
63,647.369,1.34264,1.19155,1.34096,0.50844,0.83529,0.62667,0.37752,1.38413,1.34878,1.53801,0.0016931,0.0016931,0.0016931
64,657.523,1.37638,1.19117,1.36465,0.53422,0.72866,0.61439,0.37036,1.36499,1.34039,1.54534,0.00168815,0.00168815,0.00168815
65,668.018,1.30034,1.15845,1.328,0.5136,0.84477,0.64359,0.37644,1.38077,1.16525,1.56999,0.0016832,0.0016832,0.0016832
66,678.021,1.38911,1.21345,1.38289,0.50935,0.82353,0.62613,0.37782,1.43032,1.28434,1.5646,0.00167825,0.00167825,0.00167825
67,688.064,1.38539,1.16924,1.38022,0.56844,0.87059,0.69816,0.41638,1.39394,1.27095,1.5699,0.0016733,0.0016733,0.0016733
68,698.19,1.38872,1.17708,1.36556,0.55254,0.8426,0.68078,0.39425,1.41351,1.24901,1.5696,0.00166835,0.00166835,0.00166835
69,708.221,1.33406,1.15301,1.32793,0.56756,0.8,0.66793,0.41267,1.40463,1.22993,1.56259,0.0016634,0.0016634,0.0016634
70,718.208,1.32834,1.14308,1.3486,0.45099,0.84706,0.60096,0.35288,1.40803,1.33075,1.58457,0.00165845,0.00165845,0.00165845
71,728.312,1.32768,1.11237,1.33585,0.52515,0.78824,0.66516,0.39952,1.38352,1.28314,1.5785,0.0016535,0.0016535,0.0016535
72,738.332,1.33334,1.1781,1.33126,0.51913,0.77476,0.63845,0.38836,1.49513,1.25093,1.63531,0.00164855,0.00164855,0.00164855
73,748.354,1.32638,1.12846,1.32286,0.52971,0.71558,0.6143,0.37136,1.52476,1.24567,1.66512,0.0016436,0.0016436,0.0016436
74,758.334,1.34427,1.1511,1.35379,0.54082,0.7344,0.62785,0.33467,1.73955,1.32947,1.84441,0.00163865,0.00163865,0.00163865
75,768.458,1.32684,1.13053,1.32526,0.50164,0.91187,0.65767,0.41323,1.31845,1.19319,1.50452,0.0016337,0.0016337,0.0016337
